seconds_in_video,angle_radians,angle_degrees
29.0,2.2652332559162174,129.78830517667717
29.02,2.2652332559162174,129.78830517667717
29.04,2.2652332559162174,129.78830517667717
29.06,2.2836456473756024,130.84325749804265
29.08,2.3220471263881493,133.0435001725218
29.1,2.3396114116337823,134.04985958726047
29.12,2.369290843588841,135.75036577663104
29.14,2.4276037009178646,139.09144639293262
29.16,2.4812694305452045,142.16626620506938
29.18,2.6071354365102413,149.37785713103443
29.2,2.636231184700245,151.04492070409702
29.22,2.709310392439346,155.2320508777073
29.24,2.752547027516699,157.70932758798693
29.26,2.813031068633595,161.1748078718808
29.28,2.8389825740422707,162.66171960380885
29.3,2.82437774040648,161.82492427598734
29.32,2.8286917495986232,162.07209879547779
29.34,2.836245315925462,162.5048862662778
29.36,2.851396787431529,163.37300163698816
29.38,2.8454281002173527,163.03102105038215
29.4,2.8098225897348983,160.9909755723287
29.42,2.7781614548092954,159.17692616649742
29.44,2.748976257610281,157.50473754273685
29.46,2.741409642520249,157.071202432878
29.48,2.739585142009052,156.96666625386698
29.5,2.7474796095894236,157.41898592772512
29.52,2.739129173746292,156.9405411968189
29.54,2.7597284259728214,158.1207914105245
29.56,2.782761610847074,159.44049569256376
29.58,2.7819509350248466,159.3940473893968
29.6,2.699091076010926,154.64652717685016
29.62,2.6571784876628604,152.24511275603678
29.64,2.643463480159132,151.4593007100829
29.66,2.6045672376540274,149.23071017562305
29.68,2.615938413620657,149.88223056661153
29.7,2.619730574567358,150.0995053840918
29.72,2.64945625524749,151.80266143021694
29.74,2.6217843756474277,150.21717951793923
29.76,2.636507807619265,151.06077002987348
29.78,2.641105248395588,151.32418398291813
29.8,2.5788117620934172,147.75503012664774
29.82,2.5708352629872837,147.29801039257643
29.84,2.54378405839611,145.74809053875725
29.86,2.500182958278439,143.24993151988733
29.88,2.483882420959848,142.31597952773657
29.9,2.49952688282165,143.2123411651712
29.92,2.525842655599793,144.72012387998407
29.94,,
29.96,,
29.98,,
30.0,,
30.02,,
30.04,,
30.06,,
30.08,,
30.1,,
30.12,,
30.14,,
30.16,,
30.18,,
30.2,,
30.22,,
30.24,,
30.26,,
30.28,,
30.3,,
30.32,,
30.34,,
30.36,,
30.38,,
30.4,,
30.42,,
30.44,,
30.46,,
30.48,,
30.5,,
30.52,,
30.54,,
30.56,,
30.58,2.955177148304221,169.31917831133802
30.6,2.9762704651978957,170.5277363452776
30.62,3.006779869151877,172.27579642730046
30.64,2.950757016293365,169.0659234022253
30.66,2.8859394356737766,165.35214959447393
30.68,2.8663748243885867,164.23117994001854
30.7,2.8638862389360105,164.08859449662825
30.72,2.889138197669333,165.53542515648616
30.74,2.9120332243234848,166.8472135556086
30.76,2.9100353815641347,166.73274559736706
30.78,2.8976596134947354,166.0236663187577
30.8,2.856537176491337,163.66752423517036
30.82,2.8803607187978,165.03251266238206
30.84,2.89712628002369,165.99310856179375
30.86,2.9017182626361664,166.2562097850861
30.88,2.979353316002214,170.70437068523353
30.9,3.0348129109843938,173.88197141121736
30.92,3.049458249167015,174.72108747862336
30.94,3.091483327038993,177.1289470743963
30.96,3.1230336969497743,178.93665011236064
30.98,3.1195128694570493,178.73492155663385
31.0,3.1303761904567335,179.3573440014116
31.02,3.1396379648485855,179.88800458486708
31.04,3.1155102215064736,178.50558672218918
31.06,3.100849292162282,177.6655773470275
31.08,3.0442687533789536,174.42375127216653
31.1,3.036890580653745,174.00101311449353
31.12,3.003982108387665,172.11549654342383
31.14,3.022638193710685,173.18441149466884
31.16,3.023987408309737,173.26171579685195
31.18,3.015692670075807,172.78646230388193
31.2,2.975535564387909,170.4856296305046
31.22,2.9934541427128436,171.51228854339794
31.240000000000002,3.0396043164086666,174.15649871996428
31.259999999999998,3.0691271060260767,175.84802996449451
31.28,3.00736918702144,172.30956185401806
31.3,3.017845997313181,172.90983886649403
31.32,3.0254017602357073,173.34275219295623
31.34,3.029920948644737,173.60168261561807
31.36,2.978952307676483,170.68139460061954
31.38,2.9499483169603864,169.0195883435506
31.4,2.915579093742251,167.0503769080084
31.42,2.8900625609589694,165.58838727171914
31.44,2.8488528450215336,163.22724447357106
31.46,2.8489968432931216,163.23549496679024
31.48,2.848691524646522,163.21800149693343
31.5,2.842606818574429,162.8693735194249
31.52,2.771756137227109,158.8099285025972
31.54,2.749185467456561,157.51672438396128
31.56,2.758368073566141,158.04284895897126
31.58,2.7222262505528443,155.97207503640055
31.6,2.736068473450747,156.76517598752974
31.62,2.757810684702559,158.0109129295404
31.64,2.7592599948529264,158.09395228436193
31.66,2.906200874733625,166.51304453946477
31.68,2.9787405270052996,170.6692604619783
31.7,3.01447147033251,172.71649271264857
31.72,3.042429509627908,174.3183703677358
31.740000000000002,3.0370103787291844,174.00787703861
31.759999999999998,3.1198350460965236,178.75338091833345
31.78,3.103466301488277,177.81552093635338
31.8,3.126451352471761,179.13246734960003
31.82,3.1361053507068175,179.68560070389552
31.84,3.0911256020029407,177.10845093960435
31.86,3.1328759408767355,179.50056915031377
31.88,3.099006266562137,177.5599797586046
31.9,3.088174081315131,176.9393412610473
31.92,3.0964835233987036,177.4154372225444
31.94,3.087811153452539,176.91854702625307
31.96,3.1337250694795706,179.54922063552007
31.98,3.0780037515525676,176.35662428939614
32.0,3.0216908732094088,173.1301340280995
32.02,3.129990427975272,179.33524143932937
32.04,3.140727299349826,179.95041885426613
32.06,3.1212808677800106,178.83622039872574
32.08,3.0874057367654246,176.89531836113724
32.1,3.0817683177575437,176.57231804463885
32.12,3.0826920865113876,176.62524609548015
32.14,3.04521806917808,174.47814306088154
32.16,3.082394029175998,176.6081686681094
32.18,3.052311630546551,174.88457418901197
32.2,3.0821033829578885,176.5915158664803
32.22,3.0064148954387155,172.2548849739031
32.24,3.0033842839797362,172.0812437279596
32.26,3.0380728296449058,174.06875099202063
32.28,3.0725598749834178,176.04471313779368
32.3,3.0730347328616787,176.07192049008657
32.32,3.141019777456142,179.96717661535803
32.34,3.04395824260544,174.40596031535085
32.36,3.06253780030448,175.47049055672562
32.38,3.0548674010232095,175.03100905072864
32.4,3.0507298948972315,174.7939474120006
32.42,,
32.44,,
32.46,2.931849349350914,167.98259388598385
32.48,2.755396911304203,157.87261390111365
32.5,2.6495997662838526,151.81088400691408
32.52,2.553496535573455,146.30457448963625
32.54,2.5695459514895416,147.2241382852781
32.56,2.521417922437169,144.46660534429412
32.58,2.5749706895359377,147.53495288030064
32.6,2.6366822168064834,151.0707629402094
32.62,2.659621187718868,152.38506915986238
32.64,2.6720509467293523,153.09724189152786
32.66,2.7081349858192314,155.164705039163
32.68,2.6802087044966756,153.56464698188555
32.7,2.672629039593421,153.13036417280563
32.72,2.659695737496261,152.38934054747065
32.74,2.7302771209507752,156.43335593160882
32.76,2.71641092482286,155.63888141557862
32.78,2.7823375926927385,159.41620124188339
32.8,2.7700904846086547,158.71449363742485
32.82,2.7990524611818266,160.37389266142435
32.84,2.784925414148672,159.56447248944178
32.86,2.779280656318552,159.24105168940247
32.88,2.721767379314643,155.9457836511117
32.9,2.752230066240298,157.69116704458008
32.92,2.8224386610948238,161.7138232152883
32.94,2.9810525055955894,170.8017270775265
32.96,3.0399780845916164,174.1779140593636
32.98,3.0902082867965692,177.0558926497961
33.0,3.095054167296626,177.3335411504741
33.019999999999996,3.085828911120039,176.80497290662868
33.04,3.08699640762168,176.87186552876898
33.06,3.0864380416541857,176.83987351540782
33.08,3.0756543360390767,176.22201269615056
33.1,3.0437010034409058,174.39122159689757
33.12,2.94939350981262,168.98780023553988
33.14,2.896494267863866,165.95689693243486
