seconds_in_video,angle_radians,angle_degrees
40.0,1.1929620671999719,68.35169156976049
40.02,1.1929620671999719,68.35169156976049
40.04,1.1929620671999719,68.35169156976049
40.06,1.3665818195149713,78.29937061751666
40.08,1.4529179448796443,83.2460662204248
40.1,1.4873618054189757,85.21955405946568
40.12,1.4795250581884771,84.77054151804728
40.14,1.462119301278784,83.77326510789119
40.16,1.4005853807248303,80.24763116325634
40.18,1.410445421741149,80.81256989931728
40.2,1.4219604022788643,81.47232968530365
40.22,1.4704221148682532,84.24898128465165
40.24,1.5204829626085599,87.11725657901825
40.26,1.63433529725004,93.64051484168616
40.28,1.6958871255215884,97.1671748229599
40.3,1.755917633524581,100.60666957355768
40.32,1.8422746826193979,105.55456401789473
40.34,1.8687966652576935,107.07416168738833
40.36,1.8689246699351765,107.08149581516602
40.38,1.7852674397644892,102.28828960063115
40.4,1.7921808138866098,102.68439676002362
40.42,1.7708678914629359,101.46325625605738
40.44,1.7210079327990357,98.60649105791916
40.46,1.701408506202097,97.48352663303811
40.48,1.6421539743614715,94.08849204154671
40.5,1.6232668786153144,93.00634116803242
40.52,1.6124764405114518,92.38809460558394
40.54,1.5785314636999739,90.44319069861682
40.56,1.6008686636510578,91.72301798195376
40.58,1.5681246976276466,89.84692692429253
40.6,1.5202077700599816,87.10148920743126
40.62,1.4741008951272305,84.45975986724709
40.64,1.4551371263356163,83.37321595182569
40.66,1.452258838946078,83.20830223217942
40.68,1.448096389398292,82.96981144065515
40.7,1.445472047854358,82.81944774618687
40.72,1.4439091266917865,82.72989895985985
40.74,1.4108019759563417,80.83299895101543
40.76,1.4028321337225893,80.37636062763629
40.78,1.4195470324210817,81.33405377804863
40.8,1.540798820402632,88.28126948780653
40.82,1.679809211301432,96.24597819477157
40.84,1.7385959260520232,99.6142088414199
40.86,1.7707826141059382,101.45837022341337
40.88,1.8475993898094667,105.85964726702865
40.9,1.8955373314214508,108.60628899993989
40.92,1.9121868036819674,109.56023349158764
40.94,1.9727780966551902,113.03185885419398
40.96,2.035520229883153,116.62671828580378
40.98,2.0897062388704857,119.73134790943588
41.0,2.1221882163509482,121.59242812930538
41.02,2.1866620381738806,125.28650600883786
41.04,2.2652332559162174,129.78830517667717
41.06,2.283645647375603,130.84325749804268
41.08,2.3220471263881493,133.0435001725218
41.1,2.3396114116337823,134.04985958726047
41.12,2.369290843588841,135.75036577663104
41.14,2.4276037009178646,139.09144639293262
41.16,2.481269430545204,142.16626620506935
41.18,2.6071354365102413,149.37785713103443
41.2,2.636231184700245,151.04492070409702
41.22,2.709310392439346,155.2320508777073
41.24,2.752547027516699,157.70932758798693
41.26,2.813031068633595,161.1748078718808
41.28,2.8389825740422707,162.66171960380885
41.3,2.82437774040648,161.82492427598734
41.32,2.8286917495986232,162.07209879547779
41.34,2.836245315925462,162.5048862662778
41.36,2.851396787431529,163.37300163698816
41.38,2.8454281002173527,163.03102105038215
41.4,2.8098225897348983,160.9909755723287
41.42,2.7781614548092954,159.17692616649742
41.44,2.748976257610281,157.50473754273685
41.46,2.741409642520249,157.071202432878
41.48,2.739585142009052,156.96666625386698
41.5,2.7474796095894236,157.41898592772512
41.52,2.739129173746292,156.9405411968189
41.54,2.7597284259728214,158.1207914105245
41.56,2.782761610847074,159.44049569256376
41.58,2.7819509350248466,159.3940473893968
41.6,2.699091076010926,154.64652717685016
41.62,2.6571784876628604,152.24511275603678
41.64,2.6434634801591317,151.45930071008289
41.66,2.6045672376540274,149.23071017562305
41.68,2.615938413620657,149.88223056661153
41.7,2.619730574567358,150.0995053840918
41.72,2.64945625524749,151.80266143021694
41.74,2.6217843756474277,150.21717951793923
41.76,2.636507807619265,151.06077002987348
41.78,2.641105248395588,151.32418398291813
41.8,2.5788117620934172,147.75503012664774
41.82,2.5708352629872833,147.2980103925764
41.84,2.54378405839611,145.74809053875725
41.86,2.500182958278439,143.24993151988733
41.88,2.483882420959848,142.31597952773657
41.9,2.49952688282165,143.2123411651712
41.92,2.525842655599793,144.72012387998407
41.94,,
41.96,,
41.98,,
42.0,,
42.02,,
42.04,,
42.06,,
42.08,,
42.1,,
42.12,,
42.14,,
42.16,,
42.18,,
42.2,,
42.22,,
42.24,,
42.26,,
42.28,,
42.3,,
42.32,,
42.34,,
42.36,,
42.38,,
42.4,,
42.42,,
42.44,,
42.46,,
42.48,,
42.5,,
42.52,,
42.54,,
42.56,,
42.58,-2.955177148304221,-169.31917831133802
42.6,-2.9762704651978957,-170.5277363452776
42.62,-3.006779869151877,-172.27579642730046
42.64,-2.950757016293365,-169.0659234022253
42.66,-2.8859394356737766,-165.35214959447393
42.68,-2.8663748243885867,-164.23117994001854
42.7,-2.8638862389360105,-164.08859449662825
42.72,-2.889138197669333,-165.53542515648616
42.74,-2.9120332243234848,-166.8472135556086
42.76,-2.9100353815641347,-166.73274559736706
42.78,-2.8976596134947354,-166.0236663187577
42.8,-2.856537176491337,-163.66752423517036
42.82,-2.8803607187978004,-165.0325126623821
42.84,-2.89712628002369,-165.99310856179375
42.86,-2.9017182626361664,-166.2562097850861
42.88,-2.979353316002214,-170.70437068523353
42.9,-3.0348129109843938,-173.88197141121736
42.92,-3.049458249167015,-174.72108747862336
42.94,-3.091483327038993,-177.1289470743963
42.96,-3.1230336969497743,-178.93665011236064
42.98,-3.1195128694570493,-178.73492155663385
43.0,3.1303761904567335,179.3573440014116
43.02,3.1396379648485855,179.88800458486708
43.04,-3.1155102215064736,-178.50558672218918
43.06,-3.100849292162282,-177.6655773470275
43.08,-3.0442687533789536,-174.42375127216653
43.1,-3.0368905806537443,-174.00101311449347
43.12,-3.003982108387665,-172.11549654342383
43.14,-3.022638193710685,-173.18441149466884
43.16,-3.023987408309737,-173.26171579685195
43.18,-3.015692670075807,-172.78646230388193
43.2,-2.975535564387909,-170.4856296305046
43.22,-2.9934541427128436,-171.51228854339794
43.24,-3.0396043164086666,-174.15649871996428
43.26,-3.0691271060260767,-175.84802996449451
43.28,-3.00736918702144,-172.30956185401806
43.3,-3.017845997313181,-172.90983886649403
43.32,-3.0254017602357073,-173.34275219295623
43.34,-3.029920948644737,-173.60168261561807
43.36,-2.978952307676483,-170.68139460061954
43.38,-2.9499483169603864,-169.0195883435506
43.4,-2.915579093742251,-167.0503769080084
43.42,-2.8900625609589694,-165.58838727171914
43.44,-2.8488528450215336,-163.22724447357106
43.46,-2.8489968432931216,-163.23549496679024
43.48,-2.848691524646522,-163.21800149693343
43.5,-2.842606818574429,-162.8693735194249
43.52,-2.771756137227109,-158.8099285025972
43.54,-2.749185467456561,-157.51672438396128
43.56,-2.758368073566141,-158.04284895897126
43.58,-2.7222262505528456,-155.97207503640064
43.6,-2.736068473450747,-156.76517598752974
43.62,-2.757810684702561,-158.01091292954052
43.64,-2.7592599948529264,-158.09395228436193
43.66,-2.906200874733625,-166.51304453946477
43.68,-2.9787405270052996,-170.6692604619783
43.7,-3.01447147033251,-172.71649271264857
43.72,-3.042429509627908,-174.3183703677358
43.74,-3.0370103787291844,-174.00787703861
43.76,-3.1198350460965285,-178.75338091833373
43.78,3.103466301488277,177.81552093635338
43.8,3.126451352471761,179.13246734960003
43.82,-3.1361053507068175,-179.68560070389552
43.84,3.0911256020029407,177.10845093960435
43.86,3.1328759408767355,179.50056915031377
43.88,-3.099006266562137,-177.5599797586046
43.9,-3.088174081315131,-176.9393412610473
43.92,-3.0964835233987036,-177.4154372225444
43.94,-3.087811153452539,-176.91854702625307
43.96,-3.1337250694795706,-179.54922063552007
43.98,-3.0780037515525622,-176.35662428939582
44.0,-3.0216908732094088,-173.1301340280995
44.019999999999996,-3.129990427975272,-179.33524143932937
44.04,3.140727299349569,179.9504188542514
44.06,3.1212808677800106,178.83622039872574
44.08,-3.0874057367654246,-176.89531836113724
44.1,3.0817683177575477,176.57231804463908
44.12,3.0826920865113876,176.62524609548015
44.14,3.04521806917808,174.47814306088154
44.16,3.0823940291759997,176.60816866810953
44.18,3.052311630546551,174.88457418901197
44.2,3.0821033829578828,176.59151586648
44.22,3.006414895438714,172.25488497390302
44.24,3.0033842839797344,172.0812437279595
44.26,3.0380728296449058,174.06875099202063
44.28,3.0725598749834178,176.04471313779368
44.3,3.0730347328616787,176.07192049008657
44.32,-3.141019777456142,-179.96717661535803
44.34,-3.04395824260544,-174.40596031535085
44.36,-3.06253780030448,-175.47049055672562
44.38,-3.054867401023209,-175.0310090507286
44.4,-3.0507298948972315,-174.7939474120006
44.42,,
44.44,,
44.46,-2.931849349350914,-167.98259388598385
